                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.03203,                0.59721,                0.88683,                0.53543,                0.93836,                0.63951,                 0.6377,                0.10611,                0.61475,                0.12884,             0.00026422,             0.00026422,             0.00026422
                     87,                    inf,                0.59358,                0.88732,                0.54274,                0.88953,                 0.6549,                0.64285,                0.12553,                0.65095,                0.12721,             0.00024772,             0.00024772,             0.00024772
                     88,                0.03321,                0.60434,                0.88908,                0.53582,                0.90116,                0.65308,                0.64644,                 0.1152,                0.62046,                0.12844,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.0311,                0.60279,                0.88592,                0.54608,                0.91037,                0.65348,                0.64453,                 0.1164,                0.60487,                0.12587,             0.00021471,             0.00021471,             0.00021471
                     90,                0.02993,                0.58728,                0.88766,                0.53405,                0.90745,                0.65421,                0.64539,                0.11496,                0.61613,                  0.129,             0.00019821,             0.00019821,             0.00019821
                     91,                0.02587,                0.59102,                0.90768,                0.55466,                0.88372,                0.64887,                0.64832,                0.06635,                0.59133,                0.08706,              0.0001817,              0.0001817,              0.0001817
                     92,                0.02118,                0.54202,                 0.8994,                0.54512,                0.91254,                0.65791,                0.65736,                0.06141,                0.58374,                0.08014,              0.0001652,              0.0001652,              0.0001652
                     93,                0.01877,                0.54127,                 0.9023,                0.54473,                0.92322,                0.67612,                0.67589,                0.09269,                  0.589,                0.11992,              0.0001487,              0.0001487,              0.0001487
                     94,                0.01827,                0.53001,                0.89798,                0.54653,                0.92829,                0.67326,                 0.6728,                0.09317,                0.59284,                0.11766,             0.00013219,             0.00013219,             0.00013219
                     95,                0.01574,                0.52811,                0.90249,                0.55419,                0.91864,                0.67247,                0.67227,                0.08029,                0.59587,                 0.1024,             0.00011569,             0.00011569,             0.00011569
                     96,                0.01529,                0.52706,                0.90223,                0.55577,                0.90116,                 0.6924,                0.69224,                 0.0919,                0.60305,                0.11575,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                    inf,                0.51524,                0.89737,                0.55146,                0.91085,                0.69543,                0.69514,                0.06039,                0.56734,                0.07591,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.01481,                0.52075,                0.89604,                0.55451,                0.91279,                0.70839,                0.70799,                0.05742,                 0.5479,                0.07418,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.01363,                0.51389,                0.89774,                  0.556,                0.90566,                0.71523,                0.71464,                0.05608,                 0.5546,                0.07259,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.01318,                0.50579,                0.89768,                 0.5631,                0.88178,                0.71266,                0.71243,                0.05545,                0.54867,                 0.0717,             3.3173e-05,             3.3173e-05,             3.3173e-05
